code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders,trade
600016,民生银行,银行,北京,5.79,295.52,364.85,571252480.0,0.0,4574800.0,6474400.0,1.77,1.103,9.89,0.86,20001219,15708899.0,4.31,-8.97,2.76,0.0,37.99,395946.0,8.51
601166,兴业银行,银行,福建,5.97,190.52,207.74,640699328.0,0.0,1811200.0,7501100.0,3.61,2.26,18.41,0.98,20070205,20643600.0,9.94,-13.16,7.2,0.0,45.76,228251.0,18.08
601288,农业银行,银行,北京,6.12,2940.55,3247.94,2092311808.0,0.0,15218899.0,9877300.0,0.3,0.493,4.08,0.99,20100715,56666600.0,1.74,5.76,3.79,0.0,39.18,357646.0,4.02
600015,华夏银行,银行,北京,6.32,128.23,128.23,244578896.0,0.0,1265900.0,2662500.0,2.08,1.04,11.16,0.84,20030912,6243600.0,4.87,5.2,-2.67,0.0,28.41,119794.0,9.35
601988,中国银行,银行,北京,6.34,2107.66,2943.88,1942243712.0,0.0,19457100.0,14180200.0,0.48,0.47,4.69,0.89,20060705,64850200.0,2.2,-1.35,7.93,0.0,39.97,747771.0,4.18
600000,浦发银行,银行,上海,6.56,281.04,293.52,606383680.0,0.0,2527500.0,8176000.0,2.79,1.45,13.2,0.95,19991110,10843900.0,3.69,3.18,2.97,0.0,33.58,192174.0,12.48
601328,交通银行,银行,上海,6.63,392.51,742.63,893579072.0,0.0,12011600.0,11367500.0,1.53,0.7,8.06,0.8,20070515,11598800.0,1.56,1.64,3.5,0.0,36.35,360918.0,6.48
601818,光大银行,银行,北京,6.66,398.1,524.89,403041408.0,0.0,1448300.0,3336500.0,0.64,0.51,5.22,0.82,20100818,8996400.0,1.71,-2.77,4.08,0.0,36.97,240680.0,4.3
601998,中信银行,银行,北京,7.1,319.05,489.35,553697280.0,0.0,1756300.0,5863600.0,1.2,0.68,7.38,0.91,20070427,15955299.0,3.26,-0.03,0.56,0.0,30.13,199726.0,6.72
600919,江苏银行,银行,江苏,7.13,59.24,115.44,173756544.0,0.0,550187.69,1607527.75,1.39,0.7959999999999999,7.69,0.98,20160802,2877537.25,2.49,7.53,10.94,0.0,35.91,227586.0,7.56
601169,北京银行,银行,北京,7.49,182.48,211.43,227522592.0,0.0,952800.0,2623600.0,1.24,0.82,8.35,0.88,20070919,5341700.0,2.53,6.94,3.75,0.0,39.98,172254.0,7.33
601229,上海银行,银行,上海,7.7,37.07,78.06,175999888.0,0.0,441962.19,2845220.25,3.65,1.493,15.91,0.96,20161116,3547840.0,4.55,-7.54,6.84,0.0,47.72,161956.0,15.34
601107,四川成渝,路桥,四川,10.38,21.63,30.58,3679561.25,888016.13,56652.48,184394.06,0.6,0.299,4.55,0.91,20090727,455715.41,1.49,15.17,-11.02,34.27,15.81,68867.0,4.14
600823,世茂股份,全国地产,上海,10.56,37.51,37.51,8984124.0,5629851.5,169473.67,69001.47,0.18,0.37200000000000005,5.6,0.94,19940204,1222663.13,3.26,24.63,0.16,39.12,12.06,49232.0,5.24
600508,上海能源,煤炭开采,上海,10.61,7.23,7.23,1423085.38,298966.91,535548.63,91517.17,1.27,0.86,12.53,0.97,20010829,682193.0,9.44,33.73,108.54,38.38,12.99,48944.0,12.17
600269,赣粤高速,路桥,江西,10.82,23.35,23.35,3275347.5,471744.06,2246394.5,183825.77,0.79,0.35,6.22,0.81,20000518,804780.81,3.45,0.09,-11.21,44.53,25.03,101278.0,5.05
000900,现代投资,路桥,湖南,10.85,15.16,15.18,2323745.75,739020.0,227289.3,46820.21,0.31,0.43200000000000005,5.5,1.14,19990128,541900.06,3.57,14.21,21.2,15.96,8.58,62108.0,0.0
